2	69
1	232
2	1780
1	217
1	406
1	230
2	829
1	3112
1	1924
1	253
2	1905
1	217
1	246
94	3139
71	2539
54	1847
35	1165
346	9582
2	2063
7	24145
4	10906
3	4899
1	430
1	470
1	210
1	260
2	1335
1	376
1	224
3	7400
1	426
1	1202
1	43
35	25262
1	56
1	1024
4	127
1	247
1	314
230	15922
1	55
318	21863
94	3327
1	60
2	142
1	483
1	277
19	71310
2	3982
8	28047
1	1886
24	756
100	2572
46	824
502	22948
370	13667
138	3388
360	9738
17	704
117	4460
122	4198
88	2298
48	1116
46	1270
104	2636
27	1024
2306	72161
42	1572
84	2019
142	3909
131	5953
156	5628
25	620
121	3555
1027	33373
17	704
307	8541
231	6409
25	662
1	123
1	207
60	1123
328	10104
180	5030
24	524
40	1334
1426	40352
23	620
91	2157
144	2168
